Class,Precision,Recall,F1-Score,Support
computer_mouse,0.945054945054945,0.7818181818181819,0.8557213930348259,110
keyboard,0.9834710743801653,0.967479674796748,0.9754098360655739,123
laptop,0.963963963963964,0.9184549356223176,0.9406593406593406,233
mobile_phone,0.9011406844106464,0.9442231075697212,0.9221789883268483,251
mug,0.8770491803278688,0.8916666666666667,0.884297520661157,120
notebook,0.9880952380952381,0.9880952380952381,0.9880952380952381,420
office_bin,0.9872340425531915,0.9935760171306209,0.9903948772678761,467
office_chair,0.9906103286384976,0.9952830188679245,0.9929411764705881,212
pen,0.9857142857142858,1.0,0.9928057553956835,138
stapler,0.9223744292237442,0.9901960784313726,0.9550827423167849,204
water_bottle,0.9900497512437811,0.9754901960784313,0.9827160493827161,204
